J-Date,Date,Weekday,Symbol,Open
1390-03-06,5/27/2011,Friday,سکه امامی,4480000
1390-03-07,5/28/2011,Saturday,سکه امامی,4450000
1390-03-08,5/29/2011,Sunday,سکه امامی,4400000
1390-03-09,5/30/2011,Monday,سکه امامی,4380000
1390-03-10,5/31/2011,Tuesday,سکه امامی,4400000
1390-03-11,6/1/2011,Wednesday,سکه امامی,4400000
1390-03-15,6/5/2011,Sunday,سکه امامی,4420000
1390-03-16,6/6/2011,Monday,سکه امامی,4470000
1390-03-17,6/7/2011,Tuesday,سکه امامی,4470000
1390-03-18,6/8/2011,Wednesday,سکه امامی,4550000
1390-03-20,6/10/2011,Friday,سکه امامی,4600000
1390-03-21,6/11/2011,Saturday,سکه امامی,4620000
1390-03-22,6/12/2011,Sunday,سکه امامی,4560000
1390-03-23,6/13/2011,Monday,سکه امامی,4600000
1390-03-24,6/14/2011,Tuesday,سکه امامی,4570000
1390-03-27,6/17/2011,Friday,سکه امامی,4550000
1390-03-28,6/18/2011,Saturday,سکه امامی,4520000
1390-03-29,6/19/2011,Sunday,سکه امامی,4480000
1390-03-30,6/20/2011,Monday,سکه امامی,4470000
1390-03-31,6/21/2011,Tuesday,سکه امامی,4420000
1390-04-01,6/22/2011,Wednesday,سکه امامی,4440000
1390-04-04,6/25/2011,Saturday,سکه امامی,4350000
1390-04-05,6/26/2011,Sunday,سکه امامی,4280000
1390-04-06,6/27/2011,Monday,سکه امامی,4280000
1390-04-07,6/28/2011,Tuesday,سکه امامی,4280000
1390-04-10,7/1/2011,Friday,سکه امامی,4340000
1390-04-11,7/2/2011,Saturday,سکه امامی,4310000
1390-04-12,7/3/2011,Sunday,سکه امامی,4310000
1390-04-13,7/4/2011,Monday,سکه امامی,4320000
1390-04-14,7/5/2011,Tuesday,سکه امامی,4320000
1390-04-15,7/6/2011,Wednesday,سکه امامی,4330000
1390-04-17,7/8/2011,Friday,سکه امامی,4310000
1390-04-18,7/9/2011,Saturday,سکه امامی,4300000
1390-04-19,7/10/2011,Sunday,سکه امامی,4290000
1390-04-20,7/11/2011,Monday,سکه امامی,4270000
1390-04-21,7/12/2011,Tuesday,سکه امامی,4260000
1390-04-22,7/13/2011,Wednesday,سکه امامی,4260000
1390-04-24,7/15/2011,Friday,سکه امامی,4270000
1390-04-26,7/17/2011,Sunday,سکه امامی,4280000
1390-04-27,7/18/2011,Monday,سکه امامی,4290000
1390-04-28,7/19/2011,Tuesday,سکه امامی,4370000
1390-04-29,7/20/2011,Wednesday,سکه امامی,4360000
1390-04-31,7/22/2011,Friday,سکه امامی,4340000
1390-05-01,7/23/2011,Saturday,سکه امامی,4320000
1390-05-02,7/24/2011,Sunday,سکه امامی,4280000
1390-05-03,7/25/2011,Monday,سکه امامی,4320000
1390-05-04,7/26/2011,Tuesday,سکه امامی,4300000
1390-05-05,7/27/2011,Wednesday,سکه امامی,4330000
1390-05-07,7/29/2011,Friday,سکه امامی,4300000
1390-05-08,7/30/2011,Saturday,سکه امامی,4320000
1390-05-09,7/31/2011,Sunday,سکه امامی,4310000
1390-05-10,8/1/2011,Monday,سکه امامی,4300000
1390-05-11,8/2/2011,Tuesday,سکه امامی,4300000
1390-05-12,8/3/2011,Wednesday,سکه امامی,4470000
1390-05-14,8/5/2011,Friday,سکه امامی,4420000
1390-05-15,8/6/2011,Saturday,سکه امامی,4410000
1390-05-16,8/7/2011,Sunday,سکه امامی,4440000
1390-05-17,8/8/2011,Monday,سکه امامی,4600000
1390-05-18,8/9/2011,Tuesday,سکه امامی,4800000
1390-05-19,8/10/2011,Wednesday,سکه امامی,4800000
